Name,Price,Old Price,Discount,Rating
"SAMSUNG A53 (Awesome Blue, 128 GB)","₹31,999","₹38,990",17% off,4.1
"SAMSUNG Galaxy A36 5G (Awesome Black, 128 GB)","₹30,990","₹35,999",13% off,4.3
"SAMSUNG M06 5G (Sage Green, 128 GB)","₹9,945","₹13,999",28% off,3.3
"SAMSUNG Galaxy A26 5G (Awesome Mint, 128 GB)","₹24,999","₹27,999",10% off,3.8
"SAMSUNG M06 5G (Blazing Black, 128 GB)","₹9,945","₹13,999",28% off,3.3
SAMSUNG Guru Music 2 B310ED,"₹1,399","₹1,999",30% off,3.2
"SAMSUNG Galaxy A16 5G (Light Green, 256 GB)","₹21,499","₹24,499",12% off,4.2
"SAMSUNG M55 5G (Denim Black / Black, 128 GB)","₹22,998","₹28,999",20% off,3.6
"SAMSUNG Galaxy A06 5G (Light Green, 64 GB)","₹9,999","₹13,999",28% off,3.8
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹22,999","₹25,999",11% off,4.2
"SAMSUNG S23 FE (Mint, 128 GB)","₹55,999","₹79,999",30% off,4.5
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹13,999","₹20,999",33% off,4.2
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹22,999","₹25,999",11% off,4.2
"SAMSUNG A14 5G (Light Green, 128 GB)","₹15,499","₹20,499",24% off,4.2
"SAMSUNG Galaxy S23 Plus 5G (Cream, 512 GB)","₹99,999","₹1,28,999",22% off,4.5
"SAMSUNG F23 5G (Aqua Blue, 128 GB)","₹18,499","₹23,999",22% off,4.3
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹17,499","₹22,999",23% off,4.2
SAMSUNG Guru Music 2,"₹1,399","₹2,499",44% off,3.3
"SAMSUNG Galaxy A15 5G (Light Blue, 128 GB)","₹14,399","₹19,999",28% off,4.3
